year,month,branch_id,salary_per_hour
2020,12,2635,99397.590361445778
2019,9,3092,103305.78512396694
2019,10,3092,38901.601830663618
2019,11,3092,28463.792381749685
2019,12,3092,29222.174473571122
2020,1,3092,27891.714520098441
2020,2,3092,29501.084598698482
2020,3,3092,29501.084598698482
2020,4,3092,30979.498861047836
2020,5,3092,35324.675324675321
2020,6,3092,29942.756494936151
2020,7,3092,26973.42324474415
2020,8,3092,30195.381882770871
2020,9,3092,28887.000849617671
2020,10,3092,28610.354223433242
2020,11,3092,42915.531335149863
2020,12,3092,66995.073891625609
2020,8,11265,1222222.2222222222
2020,9,11265,49773.755656108595
2020,10,11265,58823.529411764706
2020,11,11265,55555.555555555555
2020,12,11265,65088.757396449706
2019,9,12722,269230.76923076925
2019,10,12722,41666.666666666664
2019,11,12722,40229.885057471263
2019,12,12722,37634.408602150535
2020,1,12722,55118.110236220469
2020,2,12722,37837.83783783784
2020,3,12722,37433.1550802139
2020,4,12722,36458.333333333336
2020,5,12722,61946.902654867255
2020,8,12722,38461.538461538461
2020,9,12722,34825.870646766169
2020,10,12722,34825.870646766169
2020,11,12722,46052.631578947367
2020,12,12722,67307.692307692312
