year,month,branch_id,hours_diff,salary,salary_per_hour
2019,10,2626,1412.4902777777777,65000000,46018.015856549653
2019,11,2626,1494.4986111111111,65000000,43492.847378208411
2019,12,2626,1421.6633333333334,65000000,45721.091960356294
2020,1,2626,1217.405,53000000,43535.2245144385
2020,2,2626,1096.1430555555555,53000000,48351.353166342087
2020,3,2626,1239.1236111111111,53000000,42772.16536328879
2020,4,2626,1165.1505555555555,53000000,45487.683756653292
2020,5,2626,1138.0458333333333,53000000,46571.059308536926
2020,6,2626,1156.7088888888889,53000000,45819.653077025047
2020,7,2626,1103.8072222222222,53000000,48015.630748726755
2020,8,2626,1078.4988888888888,53000000,49142.377934763237
2020,9,2626,1077.0213888888889,53000000,49209.793367871316
2020,10,2626,1099.9772222222223,53000000,48182.815906794029
2020,11,2626,779.26749999999993,53000000,68012.588745199828
